Date,BND,EEM,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^HSI,^IXIC,^N225
2023-04-21,71.91886901855469,38.70676040649414,33808.9609375,7577.0,7914.10009765625,15881.66015625,4133.52001953125,20075.73046875,12072.4599609375,28564.369140625
2023-04-24,72.20269775390625,38.61745834350586,33875.3984375,7573.85986328125,7912.2001953125,15863.9501953125,4137.0400390625,19959.939453125,12037.2001953125,28593.51953125
2023-04-25,72.67250061035156,37.89313507080078,33530.828125,7531.60986328125,7891.10009765625,15872.1298828125,4071.6298828125,19617.880859375,11799.16015625,28620.0703125
2023-04-26,72.41802978515625,38.111427307128906,33301.87109375,7466.66015625,7852.60009765625,15795.73046875,4055.989990234375,19757.26953125,11854.349609375,28416.470703125
2023-04-27,72.1048355102539,38.627384185791016,33826.16015625,7483.83984375,7831.60009765625,15800.4501953125,4135.35009765625,19840.279296875,12142.240234375,28457.6796875
2023-04-28,72.5061264038086,38.825828552246094,34098.16015625,7491.5,7870.60009765625,15922.3798828125,4169.47998046875,19894.5703125,12226.580078125,28856.439453125
2023-05-01,71.76045989990234,38.69683837890625,34051.69921875,7491.5,7870.60009765625,15922.3798828125,4167.8701171875,19894.5703125,12212.599609375,29123.1796875
2023-05-02,72.46687316894531,38.319793701171875,33684.53125,7383.2001953125,7773.0,15726.9404296875,4119.580078125,19933.810546875,12080.509765625,29157.94921875
2023-05-03,72.77102661132812,38.26026153564453,33414.23828125,7403.830078125,7788.39990234375,15815.0595703125,4090.75,19699.16015625,12025.330078125,29157.94921875
2023-05-04,72.67292785644531,38.567848205566406,33127.73828125,7340.77001953125,7702.60009765625,15734.240234375,4061.219970703125,19948.73046875,11966.400390625,29157.94921875
2023-05-05,72.40800476074219,39.08380889892578,33674.37890625,7432.93017578125,7778.39990234375,15961.01953125,4136.25,20049.310546875,12235.41015625,29157.94921875
2023-05-08,72.06461334228516,39.10365295410156,33618.69140625,7440.91015625,7778.39990234375,15952.830078125,4138.1201171875,20297.029296875,12256.919921875,28949.880859375
2023-05-09,71.98612976074219,38.865516662597656,33561.80859375,7397.169921875,7764.10009765625,15955.48046875,4119.169921875,19867.580078125,12179.5498046875,29242.8203125
